No,Isolated,End,Middle,Beginning
 1,[ا]{.ar},[ـا]{.ar},none,none
 2,[ب]{.ar},[ـب]{.ar},[ـبـ]{.ar},[بـ]{.ar}
 3,[ت]{.ar},[ـت]{.ar},[ـتـ]{.ar},[تـ]{.ar}
 4,[ث]{.ar},[ـث]{.ar},[ـثـ]{.ar},[ثـ]{.ar}
 5,[ج]{.ar},[ـج]{.ar},[ـجـ]{.ar},[جـ]{.ar}
 6,[ح]{.ar},[ـح]{.ar},[ـحـ]{.ar},[حـ]{.ar}
 7,[خ]{.ar},[ـخ]{.ar},[ـخـ]{.ar},[خـ]{.ar}
 8,[د]{.ar},[ـد]{.ar},none,none
 9,[ذ]{.ar},[ـذ]{.ar},none,none
10,[ر]{.ar},[ـر]{.ar},none,none
11,[ز]{.ar},[ـز]{.ar},none,none
12,[س]{.ar},[ـس]{.ar},[ـسـ]{.ar},[سـ]{.ar}
13,[ش]{.ar},[ـش]{.ar},[ـشـ]{.ar},[شـ]{.ar}
14,[ص]{.ar},[ـص]{.ar},[ـصـ]{.ar},[صـ]{.ar}
15,[ض]{.ar},[ـض]{.ar},[ـضـ]{.ar},[ضـ]{.ar}
16,[ط]{.ar},[ـط]{.ar},[ـطـ]{.ar},[طـ]{.ar}
17,[ظ]{.ar},[ـظ]{.ar},[ـظـ]{.ar},[ظـ]{.ar}
18,[ع]{.ar},[ـع]{.ar},[ـعـ]{.ar},[عـ]{.ar}
19,[غ]{.ar},[ـغ]{.ar},[ـغـ]{.ar},[غـ]{.ar}
20,[ف]{.ar},[ـف]{.ar},[ـفـ]{.ar},[فـ]{.ar}
21,[ق]{.ar},[ـق]{.ar},[ـقـ]{.ar},[قـ]{.ar}
22,[ك]{.ar},[كـ]{.ar},[ـكـ]{.ar},[كـ]{.ar}
23,[ل]{.ar},[ـل]{.ar},[ـلـ]{.ar},[لـ]{.ar}
24,[م]{.ar},[مـ]{.ar},[ـمـ]{.ar},[مـ]{.ar}
25,[ن]{.ar},[نـ]{.ar},[ـنـ]{.ar},[نـ]{.ar}
26,[ه]{.ar},[ـه]{.ar},[ـهـ]{.ar},[هـ]{.ar}
27,[و]{.ar},[ـو]{.ar},none,none
28,[ي]{.ar},[ـي]{.ar},[ـيـ]{.ar},[يـ]{.ar}
